pattern;category;;;;;
rising food price(s)?;Food Security;;;;;
seizure of food suppl(y|ies);Food Security;;;;;
severely affected agriculture;Food Security;;;;;
shocks to food distribution;Food Security;;;;;
shocks to food supply;Food Security;;;;;
shortfalls in food supply;Food Security;;;;;
skyrocketing food prices;Food Security;;;;;
starv(ed|es|ing|ation);Food Security;;;;;
starvation;Food Security;;;;;
stealing of cattle;Food Security;;;;;
sudden rise in food prices;Food Security;;;;;
uncertainty about the next meal;Food Security;;;;;
undernourishment;Food Security;;;;;
undernutrition;Food Security;;;;;
underweight birth;Food Security;;;;;
volatile food price(s)?;Food Security;;;;;
wipe out of livestock;Food Security;;;;;
absence of healthcare;Health Security;;;;;
acute respiratory infection(s)?;Health Security;;;;;
addiction;Health Security;;;;;
adverse health outcome(s)?;Health Security;;;;;
aids virus;Health Security;;;;;
alcohol;Health Security;;;;;
anthrax;Health Security;;;;;
anxiety;Health Security;;;;;
autoimmune disease(s)?;Health Security;;;;;
avian flu;Health Security;;;;;
avian influenza;Health Security;;;;;
avoidable death(s)?;Health Security;;;;;
avoidable health insult(s)?;Health Security;;;;;
biological weapon(s)?;Health Security;;;;;
bipolar disorder;Health Security;;;;;
black death;Health Security;;;;;
brain damage;Health Security;;;;;
breakdown of health service(s)?;Health Security;;;;;
cancer;Health Security;;;;;
cardiovascular disease(s)?;Health Security;;;;;
catastrophic illness(es)?;Health Security;;;;;
central nervous system dysfunction;Health Security;;;;;
collapse of health service(s)?;Health Security;;;;;
collapse of hospital(s)?;Health Security;;;;;
collapse of public health;Health Security;;;;;
common infectious disease(s)?;Health Security;;;;;
communicable disease(s)?;Health Security;;;;;
complication(s)? from childbirth;Health Security;;;;;
concentration(s)? of small particulate matter;Health Security;;;;;
contagious disease(s)?;Health Security;;;;;
contagious threat(s)?;Health Security;;;;;
contraction of disease(s)?;Health Security;;;;;
covid 19;Health Security;;;;;
covid 19 pandemic;Health Security;;;;;
covid 19 pandemic lockdown(s)?;Health Security;;;;;
deadly infectious disease(s)?;Health Security;;;;;
death(s)? and disabilit(y|ies) during pregnancy;Health Security;;;;;
death(s)? due to poor quality healthcare;Health Security;;;;;
death(s)? during childbirth;Health Security;;;;;
death(s)? during pregnancy;Health Security;;;;;
death(s)? from disease(s)?;Health Security;;;;;
death(s)? from illness(es)?;Health Security;;;;;
death(s)? from sickness;Health Security;;;;;
death(s)? from treatable condition(s)?;Health Security;;;;;
decline in life expectancy at birth;Health Security;;;;;
decline of life expectancy;Health Security;;;;;
dementia;Health Security;;;;;
dengue fever;Health Security;;;;;
denial of equal access to;Health Security;;;;;
denial of essential medical stuff(s)?;Health Security;;;;;
depression;Health Security;;;;;
deprivation of primary care;Health Security;;;;;
deprivation of primary prevention;Health Security;;;;;
deprivation(s)? in health;Health Security;;;;;
destruction of health facilit(y|ies);Health Security;;;;;
destruction of healthcare infrastructure;Health Security;;;;;
destruction of hospital(s)?;Health Security;;;;;
destruction of medical facilit(y|ies);Health Security;;;;;
destruction of medical network(s)?;Health Security;;;;;
deterioration of health facili(y|ies);Health Security;;;;;
deterioration of sanitation;Health Security;;;;;
diabetes;Health Security;;;;;
diarrhoea;Health Security;;;;;
diarrhoeal disease(s)?;Health Security;;;;;
dietary risk(s)?;Health Security;;;;;
diphtheria;Health Security;;;;;
dirty bomb(s)?;Health Security;;;;;
disabilit(y|ies) during childbirth;Health Security;;;;;
disabilit(y|ies) during pregnancy;Health Security;;;;;
disability;Health Security;;;;;
disease burden;Health Security;;;;;
disease distribution;Health Security;;;;;
disease of the circulatory system;Health Security;;;;;
disease(s)?;Health Security;;;;;
disease(s)? outbreak;Health Security;;;;;
disease(s)? risk;Health Security;;;;;
disease(s)? transmission;Health Security;;;;;
disparit(y|ies) in access to health service(s)?;Health Security;;;;;
disparit(y|ies) in health spending;Health Security;;;;;
drop in life expectancy at birth;Health Security;;;;;
drug resistance;Health Security;;;;;
drug resistant strain(s)? of disease(s)?;Health Security;;;;;
eating disorder(s)?;Health Security;;;;;
ebola;Health Security;;;;;
effect(s)? of pandemic(s)?;Health Security;;;;;
emergency medical demand(s)?;Health Security;;;;;
emerging disease(s)?;Health Security;;;;;
endemic disease;Health Security;;;;;
enhanced inflammation(s)?;Health Security;;;;;
epidemic(s)?;Health Security;;;;;
excess alcohol consumption;Health Security;;;;;
excess mortality;Health Security;;;;;
exposure to disease(s)?;Health Security;;;;;
extremely limited healthcare available;Health Security;;;;;
family illness(es?);Health Security;;;;;
foeticide;Health Security;;;;;
future illness(es?);Health Security;;;;;
gastroenteritis;Health Security;;;;;
global health pandemic(s)?;Health Security;;;;;
global infectious disease(s)?;Health Security;;;;;
global infectious disease(s)? cris[ie]s;Health Security;;;;;
greater difficulty getting health service(s)?;Health Security;;;;;
gross health disparit(y|ies);Health Security;;;;;
guinea worm;Health Security;;;;;
gunshot wound;Health Security;;;;;
h1n1;Health Security;;;;;
h5n1;Health Security;;;;;
haemorrhagic fever;Health Security;;;;;
hazardous condition(s)?;Health Security;;;;;
hazardous waste;Health Security;;;;;
health catastrophe(s)?;Health Security;;;;;
health complication(s)?;Health Security;;;;;
health cris[ie]s;Health Security;;;;;
health deprivation(s)?;Health Security;;;;;
health disorder(s)?;Health Security;;;;;
health emergenc(y|ies);Health Security;;;;;
health failing(s)?;Health Security;;;;;
health challenge(s)?;Health Security;;;;;
health insecurit(y|ies);Health Security;;;;;
health issue(s)?;Health Security;;;;;
health pandemic(s)?;Health Security;;;;;
health problem(s)?;Health Security;;;;;
health related death(s)?;Health Security;;;;;
health related challenge(s)?;Health Security;;;;;
health related threat(s)?;Health Security;;;;;
health risk(s)?;Health Security;;;;;
health shock(s)?;Health Security;;;;;
health threat(s)?;Health Security;;;;;
healthcare associated infection(s)?;Health Security;;;;;
hearth disease(s)?;Health Security;;;;;
high alcohol consumption;Health Security;;;;;
high blood pressure;Health Security;;;;;
high mortality;Health Security;;;;;
high risk of death(s)? and disabilit(y|ies) during childbirth;Health Security;;;;;
hiv;Health Security;;;;;
hiv aids cris[ie]s;Health Security;;;;;
hiv infection(s)?;Health Security;;;;;
hiv/aids;Health Security;;;;;
hiv/aids epidemic(s)?;Health Security;;;;;
hiv/aids virus;Health Security;;;;;
hn/aids;Health Security;;;;;
humanitarian suffering;Health Security;;;;;
challenge(s)? in health;Health Security;;;;;
challenge(s)? to healthcare system(s)?;Health Security;;;;;
chemical waste;Health Security;;;;;
chemical weapon(s)?;Health Security;;;;;
child death(s)?;Health Security;;;;;
child morbidity;Health Security;;;;;
child mortality;Health Security;;;;;
childbirth death(s)?;Health Security;;;;;
childbirth related death(s)?;Health Security;;;;;
cholera;Health Security;;;;;
cholera outbreak(s)?;Health Security;;;;;
chronic illness(es)?;Health Security;;;;;
chronic lung disease(s)?;Health Security;;;;;
chronic mental illness(es)?;Health Security;;;;;
chronic pulmonary disease(s)?;Health Security;;;;;
ill health;Health Security;;;;;
illness;Health Security;;;;;
impaired cognition;Health Security;;;;;
impairment of health;Health Security;;;;;
inability to access birth attendant;Health Security;;;;;
inability to receive health care;Health Security;;;;;
inadequac(y|ies) in healthcare;Health Security;;;;;
inadequate healthcare;Health Security;;;;;
inadequate healthcare system(s)?;Health Security;;;;;
inadequate relief work;Health Security;;;;;
inadequate sanitation;Health Security;;;;;
incipient epidemic(s)?;Health Security;;;;;
increased disease(s)? risk;Health Security;;;;;
increasing mortality;Health Security;;;;;
inequit(y|ies) in health;Health Security;;;;;
infant mortality;Health Security;;;;;
infanticide;Health Security;;;;;
infection(s)?;Health Security;;;;;
infectious agent(s)?;Health Security;;;;;
infectious disease cris[ie]s;Health Security;;;;;
infectious disease related threat(s)?;Health Security;;;;;
infectious disease(s)?;Health Security;;;;;
infectious epidemics;Health Security;;;;;
infectious outbreak(s)?;Health Security;;;;;
infectious threat(s)?;Health Security;;;;;
influenza;Health Security;;;;;
influenza pandemic;Health Security;;;;;
influenza/h1n1;Health Security;;;;;
insufficient access to healthcare;Health Security;;;;;
insufficient basic health care service(s)?;Health Security;;;;;
intravenous drug use;Health Security;;;;;
lack basic health care;Health Security;;;;;
lack health insurance;Health Security;;;;;
lack of access to adequate sanitation;Health Security;;;;;
lack of access to basic health care;Health Security;;;;;
lack of access to essential drug(s)?;Health Security;;;;;
lack of access to family planning;Health Security;;;;;
lack of access to healthcare;Health Security;;;;;
lack of access to insulin;Health Security;;;;;
lack of access to safe abortion ;Health Security;;;;;
lack of access to sanitation;Health Security;;;;;
lack of antenatal care;Health Security;;;;;
lack of health insurance;Health Security;;;;;
lack of hygiene;Health Security;;;;;
lack of provision of healthcare;Health Security;;;;;
lack of sanitation;Health Security;;;;;
lack of storm drainage;Health Security;;;;;
lack of waste collection;Health Security;;;;;
lead poisoning;Health Security;;;;;
less universal healthcare system(s)?;Health Security;;;;;
lethal infectious disease(s)?;Health Security;;;;;
life expectancy;Health Security;;;;;
life threatening disease(s)?;Health Security;;;;;
limitation(s)? of health system(s)?;Health Security;;;;;
limited access to health care;Health Security;;;;;
lockdown(s)?;Health Security;;;;;
long term disabilit(y|ies);Health Security;;;;;
long term health challenge(s)?;Health Security;;;;;
low life expectancy;Health Security;;;;;
low physical activit(y|ies);Health Security;;;;;
lung disease(s)?;Health Security;;;;;
mad cow disease(s)?;Health Security;;;;;
major disease(s)?;Health Security;;;;;
major pandemic(s)?;Health Security;;;;;
major potential health hazard;Health Security;;;;;
malaria;Health Security;;;;;
maternal death(s)?;Health Security;;;;;
maternal injur(y|ies);Health Security;;;;;
maternal mortality;Health Security;;;;;
maternity related;Health Security;;;;;
measles;Health Security;;;;;
meningitis;Health Security;;;;;
mental disabilit(y|ies);Health Security;;;;;
mental disorder(s)?;Health Security;;;;;
mental health cris[ie]s;Health Security;;;;;
mental health disorder(s)?;Health Security;;;;;
mental health problem(s)?;Health Security;;;;;
mental illness;Health Security;;;;;
mers;Health Security;;;;;
mortality;Health Security;;;;;
need for health care service(s)?;Health Security;;;;;
need for maternal healthcare;Health Security;;;;;
neglected disease(s)?;Health Security;;;;;
new infectious disease(s)?;Health Security;;;;;
no access to adequate sanitation;Health Security;;;;;
noncommunicable disease(s)?;Health Security;;;;;
not being able to afford essential prescription of medicines;Health Security;;;;;
not being able to afford health care;Health Security;;;;;
not being able to afford medicine(s)?;Health Security;;;;;
nuclear accident(s)?;Health Security;;;;;
nuclear reactor(s)? destruction;Health Security;;;;;
obesity;Health Security;;;;;
onchocerciasis;Health Security;;;;;
outbreak(s)? of a contagious disease;Health Security;;;;;
outbreak(s)? of a disease;Health Security;;;;;
outbreak(s)? of meningitis;Health Security;;;;;
outbreak(s)? of polio;Health Security;;;;;
outdoor exposure to particulate matter;Health Security;;;;;
outdoor exposure to sulphur dioxide;Health Security;;;;;
pandemic disease(s)?;Health Security;;;;;
pandemic influenza;Health Security;;;;;
pandemic(s)?;Health Security;;;;;
parasitic disease(s)?;Health Security;;;;;
pathogen(s)?;Health Security;;;;;
pestilence;Health Security;;;;;
physical disabilit(y|ies);Health Security;;;;;
pneumonia;Health Security;;;;;
polio;Health Security;;;;;
poor sanitation;Health Security;;;;;
posttraumatic stress;Health Security;;;;;
posttraumatic stress disorder;Health Security;;;;;
poverty related health threat(s)?;Health Security;;;;;
pregnancy related death(s)?;Health Security;;;;;
premature death(s)?;Health Security;;;;;
premature illness(es)?;Health Security;;;;;
premature mortality;Health Security;;;;;
preventable death(s)?;Health Security;;;;;
preventable disease(s)?;Health Security;;;;;
preventable infectious disease(s)?;Health Security;;;;;
priority disease(s)?;Health Security;;;;;
radioactive fallout;Health Security;;;;;
re emerging infectious disease(s)?;Health Security;;;;;
reduce healthy life expectancy;Health Security;;;;;
reduced access to quality healthcare;Health Security;;;;;
reduction of mental capacit(y|ies);Health Security;;;;;
reduction of physical capacit(y|ies);Health Security;;;;;
reproductive system dysfunction;Health Security;;;;;
resistance to mainstay antibiotic drugs;Health Security;;;;;
respiratory disease(s)?;Health Security;;;;;
respiratory infection(s)?;Health Security;;;;;
respiratory problem(s)?;Health Security;;;;;
ricin;Health Security;;;;;
rising mortality;Health Security;;;;;
risk of death(s)?;Health Security;;;;;
risk of disabilit(y|ies);Health Security;;;;;
risk(s)? of devastating illness;Health Security;;;;;
risk(s)? of infectious disease(s)?;Health Security;;;;;
sars;Health Security;;;;;
secondary infection(s)?;Health Security;;;;;
selective approache(s)? towards health;Health Security;;;;;
severe acute respiratory syndrome;Health Security;;;;;
sewage leak(s)?;Health Security;;;;;
sexually transmitted disease(s)?;Health Security;;;;;
schizophrenia;Health Security;;;;;
sickness;Health Security;;;;;
smallpox;Health Security;;;;;
social inadequacies in healthcare system(s)?;Health Security;;;;;
spread of deadly disease(s)?;Health Security;;;;;
spread of infectious disease(s)?;Health Security;;;;;
spreading the disease(s)?;Health Security;;;;;
std(s)?;Health Security;;;;;
stress;Health Security;;;;;
swine flu;Health Security;;;;;
tetanus;Health Security;;;;;
threat(s)? of hiv/aids;Health Security;;;;;
threat(s)? to health;Health Security;;;;;
tobacco smoking;Health Security;;;;;
toxin weapon(s)?;Health Security;;;;;
transmission of pathogen(s)?;Health Security;;;;;
transmission through sexual exploitation;Health Security;;;;;
transmission through sexual violence;Health Security;;;;;
trauma;Health Security;;;;;
treatable infectious disease(s)?;Health Security;;;;;
tropical disease(s)?;Health Security;;;;;
tuberculosis;Health Security;;;;;
typhoid;Health Security;;;;;
unaffordability of medicine(s)?;Health Security;;;;;
underinvestment in healthcare;Health Security;;;;;
unequal access to health;Health Security;;;;;
unhealthy condition(s)?;Health Security;;;;;
unhealthy diet(s)?;Health Security;;;;;
unmet mental health need(s)?;Health Security;;;;;
unnecessary health death(s)?;Health Security;;;;;
unnecessary sickness;Health Security;;;;;
unsafe abortion(s)?;Health Security;;;;;
unsafe childbearing;Health Security;;;;;
unsafe childrearing;Health Security;;;;;
untreated industrial waste;Health Security;;;;;
untreated sewage;Health Security;;;;;
untreated waste;Health Security;;;;;
upper respiratory disease(s)?;Health Security;;;;;
vaccine preventable disease(s)?;Health Security;;;;;
viral encephalitis;Health Security;;;;;
virus;Health Security;;;;;
water related disease(s)?;Health Security;;;;;
weak(er)? healthcare system(s)?;Health Security;;;;;
whooping cough;Health Security;;;;;
worsening health;Health Security;;;;;
worsening maternal health;Health Security;;;;;
yaws;Health Security;;;;;
yellow fever;Health Security;;;;;
zika;Health Security;;;;;
zoonotic disease(s)?;Health Security;;;;;
abduction(s)?;Personal Security;;;;;
abuse(s)?;Personal Security;;;;;
accident(s)?;Personal Security;;;;;
ai powered autonomous lethal weapon(s)?;Personal Security;;;;;
ambush(es|ed);Personal Security;;;;;
antipersonnel landmine(s)?;Personal Security;;;;;
antipersonnel mine(s)?;Personal Security;;;;;
armed conflict(s)?;Personal Security;;;;;
arms;Personal Security;;;;;
arms trafficking;Personal Security;;;;;
artificial intelligence in warfare;Personal Security;;;;;
assault rifles;Personal Security;;;;;
atrocit(y|ies);Personal Security;;;;;
attack(ed|ing);Personal Security;;;;;
attack(s)? on;Personal Security;;;;;
attack(s)? on ;Personal Security;;;;;
autonomous system(s)?;Personal Security;;;;;
autonomous weapons system(s)?;Personal Security;;;;;
battle death(s)?;Personal Security;;;;;
battle related death(s)?;Personal Security;;;;;
beatings;Personal Security;;;;;
besieg(e|ed|ing);Personal Security;;;;;
blackmailing;Personal Security;;;;;
bloodshed;Personal Security;;;;;
bomb(ing|ed|s);Personal Security;;;;;
bomb(s)?;Personal Security;;;;;
broken leg(s)?;Personal Security;;;;;
brutal violence;Personal Security;;;;;
brutality;Personal Security;;;;;
brutalization of ;Personal Security;;;;;
bullet(s)?;Personal Security;;;;;
bullying;Personal Security;;;;;
carnage;Personal Security;;;;;
circulation of light weapons;Personal Security;;;;;
circulation of small arms;Personal Security;;;;;
circulation of small arms and light weapons;Personal Security;;;;;
civil conflict;Personal Security;;;;;
civil violence;Personal Security;;;;;
coercion;Personal Security;;;;;
complex emergenc(y|ies);Personal Security;;;;;
conflict related violence;Personal Security;;;;;
conflict tension(s)?;Personal Security;;;;;
conflict(s)?;Personal Security;;;;;
corruption;Personal Security;;;;;
crime;Personal Security;;;;;
crime(s)? against humanity;Personal Security;;;;;
criminal activit(y|ies);Personal Security;;;;;
criminal network(s)?;Personal Security;;;;;
criminal violence;Personal Security;;;;;
criminality;Personal Security;;;;;
cross border attack(s)?;Personal Security;;;;;
cross border drug trade;Personal Security;;;;;
cross border trafficking;Personal Security;;;;;
cruelty;Personal Security;;;;;
cultural violence;Personal Security;;;;;
cyber dependent crime;Personal Security;;;;;
cyberattack(s)?;Personal Security;;;;;
cyberbullying;Personal Security;;;;;
cybercrime;Personal Security;;;;;
cyberharm;Personal Security;;;;;
cybersecurity attack(s)?;Personal Security;;;;;
cyberthreat(s)?;Personal Security;;;;;
cyberviolence;Personal Security;;;;;
cyberwarfare;Personal Security;;;;;
dangerous labour;Personal Security;;;;;
death(s)?;Personal Security;;;;;
degrading treatment;Personal Security;;;;;
destructiveness of internal violence;Personal Security;;;;;
deteriorating security of people(s)?;Personal Security;;;;;
digital technology threat(s)?;Personal Security;;;;;
digital threat(s)?;Personal Security;;;;;
direct violence;Personal Security;;;;;
disappearance(s)?;Personal Security;;;;;
discrimination against;Personal Security;;;;;
displac(ing|ement|ements|ed);Personal Security;;;;;
displac(ing|ement|ements|ed);Personal Security;;;;;
displacement(s)?;Personal Security;;;;blockad(e|ed|ing);Food Security
dispute(s)?;Personal Security;;;;starv(ed|es|ing|ation);Food Security
domestic abuse;Personal Security;;;;attack(ed|ing);Personal Security
domestic crime;Personal Security;;;;attack(s)? on;Personal Security
domestic violence;Personal Security;;;;rap(e|es|ed|ing);Personal Security
dowry related death(s)?;Personal Security;;;;displac(ing|ement|ements|ed);Personal Security
dowry related killing(s)?;Personal Security;;;;loot(ing|ed|s);Personal Security
drive people from their home(s)?;Personal Security;;;;bomb(ing|ed|s);Personal Security
drug related crime;Personal Security;;;;shell(ing|s|ed);Personal Security
drug trade;Personal Security;;;;raid(ed|s|ing);Personal Security
drug trafficking;Personal Security;;;;sho(ot|ots|ts|t|ing);Personal Security
drug use;Personal Security;;;;gun (s|ned|ning);Personal Security
drug war(s)?;Personal Security;;;;massacr(e|es|ed|ing);Personal Security
drug(s)?;Personal Security;;;;kill(s|ed|ing);Personal Security
easy availability of small arms;Personal Security;;;;slaughter(ed);Personal Security
electric shock(s)?;Personal Security;;;;ambush(es|ed);Personal Security
emotional violence;Personal Security;;;;kidnapp(ing|ings|ed);Personal Security
enforced prostitution;Personal Security;;;;besieg(e|ed|ing);Personal Security
execution(s)?;Personal Security;;;;siege(e|ed|ing);Personal Security
exploitation of;Personal Security;;;;murder(s|ing|ed);Personal Security
explosion(s)? of violence;Personal Security;;;;;
expulsion(s)?;Personal Security;;;;;
extremism;Personal Security;;;;;
family violence;Personal Security;;;;;
femicide(s)?;Personal Security;;;;;
firearms;Personal Security;;;;;
flow of arms;Personal Security;;;;;
flow of police equipment;Personal Security;;;;;
flow of weapons;Personal Security;;;;;
force expulsion(s)?;Personal Security;;;;;
forced displacement(s)?;Personal Security;;;;;
forced labour;Personal Security;;;;;
forcible displacement of;Personal Security;;;;;/
forcible expulsion;Personal Security;;;;;
forcibly displaced by;Personal Security;;;;;
form(s)? of violence;Personal Security;;;;;
forms of sexual violence;Personal Security;;;;;
gang related violence;Personal Security;;;;;
gang violence;Personal Security;;;;;
gender based domestic violence;Personal Security;;;;;
gender based violence;Personal Security;;;;;
gender insecurity;Personal Security;;;;;
gender related killing;Personal Security;;;;;
gender violence;Personal Security;;;;;
generalized violence;Personal Security;;;;;
grave threat(s)?;Personal Security;;;;;
grave violation(s)? against ;Personal Security;;;;;
gun (s|ned|ning);Personal Security;;;;;
gun(s)?;Personal Security;;;;;
harassment;Personal Security;;;;;
harm to;Personal Security;;;;;
harming;Personal Security;;;;;
harsh treatment of ;Personal Security;;;;;
heroin;Personal Security;;;;;
high level of civilian casualties;Personal Security;;;;;
high profile ransomware attack(s)? ;Personal Security;;;;;
high proportion of civilian casualties;Personal Security;;;;;
high(er)? crime rate(s)?;Personal Security;;;;;
homicide(s)?;Personal Security;;;;;
hostage(s)? taking;Personal Security;;;;;
hostilit(y|ies);Personal Security;;;;;
hotbed of criminal network(s)? ;Personal Security;;;;;
hotbed of violence;Personal Security;;;;;
household violence;Personal Security;;;;;
human suffering;Personal Security;;;;;
human trafficking;Personal Security;;;;;
humanitarian emergenc(y|ies);Personal Security;;;;;
child abduction;Personal Security;;;;;
child labour;Personal Security;;;;;
child murder;Personal Security;;;;;
child neglect;Personal Security;;;;;
child pornography;Personal Security;;;;;
child prostitution;Personal Security;;;;;
child prostitution and child pornography;Personal Security;;;;;
child recruitment;Personal Security;;;;;
child sexual exploitation;Personal Security;;;;;
child sexual service(s)? ;Personal Security;;;;;
child slavery;Personal Security;;;;;
child soldier(s)? ;Personal Security;;;;;
identity theft(s)? ;Personal Security;;;;;
ill treatment;Personal Security;;;;;
illegal activit(y|ies);Personal Security;;;;;
illegal drug trade;Personal Security;;;;;
illegal guns;Personal Security;;;;;
illegal trade in;Personal Security;;;;;
illegal traffic in;Personal Security;;;;;
illegal traffic of;Personal Security;;;;;
illegal trafficking;Personal Security;;;;;
illegal weapon(s)? trade;Personal Security;;;;;
illicit activit(y|ies);Personal Security;;;;;
illicit arms trade;Personal Security;;;;;
illicit drugs;Personal Security;;;;;
illicit manufacture of light weapons;Personal Security;;;;;
illicit manufacture of small arms;Personal Security;;;;;
illicit manufacture of small arms and light weapons;Personal Security;;;;;
illicit network(s)? ;Personal Security;;;;;
illicit substance(s)? trafficking;Personal Security;;;;;
illicit trade in conflict commodit(y|ies);Personal Security;;;;;
illicit trade in light weapons;Personal Security;;;;;
illicit trade in small arms;Personal Security;;;;;
illicit weapon(s)? ;Personal Security;;;;;
increased sense of insecurity;Personal Security;;;;;
increases in war related activit(y|ies);Personal Security;;;;;
indignit(y|ies);Personal Security;;;;;
indiscriminate harm;Personal Security;;;;;
indiscriminate killing(s)?;Personal Security;;;;;
inhumane treatment;Personal Security;;;;;
injur(y|ies);Personal Security;;;;;
insecure working condition(s)?;Personal Security;;;;;
intentional killing(s)? of;Personal Security;;;;;
inter group hostilit(y|ies);Personal Security;;;;;
inter state conflict(s)? ;Personal Security;;;;;
inter state rivalr(y|ies);Personal Security;;;;;
inter state war(s)? ;Personal Security;;;;;
inter state warfare;Personal Security;;;;;
internal armed conflict(s)? ;Personal Security;;;;;
internal conflict(s)? ;Personal Security;;;;;
internal displacement(s)? ;Personal Security;;;;;
internal war(s)? ;Personal Security;;;;;
international crime;Personal Security;;;;;
interpersonal violence;Personal Security;;;;;
intimate partner violence;Personal Security;;;;;
intrahousehold violence;Personal Security;;;;;
kidnapp(ing|ings|ed);Personal Security;;;;;
kidnapping(s)? ;Personal Security;;;;;
kill(s|ed|ing);Personal Security;;;;;
killed in battle;Personal Security;;;;;
killing of(s)? ;Personal Security;;;;;
killing(s)? ;Personal Security;;;;;
landmine(s)? ;Personal Security;;;;;
large scale atrocities;Personal Security;;;;;
large scale attack against;Personal Security;;;;;
large scale killing(s)? ;Personal Security;;;;;
large scale loss of life;Personal Security;;;;;
large scale violation(s)? of international humanitarian law;Personal Security;;;;;
laundering fund(s)? ;Personal Security;;;;;
lethal violence;Personal Security;;;;;
light weapons;Personal Security;;;;;
lingering conflict(s)? ;Personal Security;;;;;
local dispute(s)? ;Personal Security;;;;;
localized armed violence;Personal Security;;;;;
long standing violence;Personal Security;;;;;
long term conflict(s)? ;Personal Security;;;;;
loot(ing|ed|s);Personal Security;;;;;
loot(ing|ed|s);Personal Security;;;;;
low intensity conflict(s)? ;Personal Security;;;;;
maiming;Personal Security;;;;;
major armed conflict(s)? ;Personal Security;;;;;
malicious activit(y|ies);Personal Security;;;;;
malware;Personal Security;;;;;
man made disaster(s)? ;Personal Security;;;;;
man made scourge;Personal Security;;;;;
mass atrocit(y|ies);Personal Security;;;;;
mass atrocity crime(s)? ;Personal Security;;;;;
mass casualt(y|ies);Personal Security;;;;;
mass destruction;Personal Security;;;;;
mass detention;Personal Security;;;;;
mass domestic violence;Personal Security;;;;;
mass killing(s)?;Personal Security;;;;;
mass murder(s)?;Personal Security;;;;;
mass violence;Personal Security;;;;;
massacr(e|es|ed|ing);Personal Security;;;;;
massive crime(s)?;Personal Security;;;;;
massive displacement;Personal Security;;;;;
mental harm;Personal Security;;;;;
military recruitment;Personal Security;;;;;
mine(s)?;Personal Security;;;;;
misuse of guns;Personal Security;;;;;
modern warfare;Personal Security;;;;;
money laundering;Personal Security;;;;;
mounting civilian death(s)?;Personal Security;;;;;
murder of;Personal Security;;;;;
murder(s|ing|ed);Personal Security;;;;;
murders;Personal Security;;;;;
narcotic drug problem;Personal Security;;;;;
narcotics;Personal Security;;;;;
narcotics trafficking;Personal Security;;;;;
nonconsensual intimate images;Personal Security;;;;;
nonstate conflict(s)?;Personal Security;;;;;
nuclear attack(s)?;Personal Security;;;;;
nuclear danger;Personal Security;;;;;
nuclear risk(s)?;Personal Security;;;;;
nuclear terrorism;Personal Security;;;;;
nuclear weapon(s)?;Personal Security;;;;;
offline violence;Personal Security;;;;;
ongoing violence;Personal Security;;;;;
online attack(s)?;Personal Security;;;;;
online harassment;Personal Security;;;;;
online violence;Personal Security;;;;;
opium;Personal Security;;;;;
organized crime;Personal Security;;;;;
organized criminal network(s)?;Personal Security;;;;;
organized violence;Personal Security;;;;;
outbreak of civil war;Personal Security;;;;;
outbreak of violent conflict(s)?;Personal Security;;;;;
overthrowing settlement(s)?;Personal Security;;;;;
period(s)? of widespread abuse(s)?;Personal Security;;;;;
personal insecurit(y|ies);Personal Security;;;;;
personal level violence;Personal Security;;;;;
personal threat to;Personal Security;;;;;
physical abuse;Personal Security;;;;;
physical aggression;Personal Security;;;;;
physical attack(s)?;Personal Security;;;;;
physical harm;Personal Security;;;;;
physical torture;Personal Security;;;;;
physical violence;Personal Security;;;;;
precarious working condition(s)?;Personal Security;;;;;
proliferation of arms;Personal Security;;;;;
proliferation of light weapons;Personal Security;;;;;
proliferation of small arms;Personal Security;;;;;
proliferation of small arms and light weapons;Personal Security;;;;;
proliferation of weapons of mass destruction;Personal Security;;;;;
prostitution;Personal Security;;;;;
psychological abuse;Personal Security;;;;;
psychological violence;Personal Security;;;;;
radiological weapon;Personal Security;;;;;
raid(ed|s|ing);Personal Security;;;;;
raid(s)?;Personal Security;;;;;
random violence;Personal Security;;;;;
ransomware;Personal Security;;;;;
rap(e|es|ed|ing);Personal Security;;;;;
rap(e|es|ed|ing);Personal Security;;;;;
rapid urbanization;Personal Security;;;;;
real world violence;Personal Security;;;;;
recruitment(s)?;Personal Security;;;;;
recurring violence;Personal Security;;;;;
retribution(s)?;Personal Security;;;;;
revenge killing(s)?;Personal Security;;;;;
risk to personal safety;Personal Security;;;;;
risk(s)? of harm;Personal Security;;;;;
robber(y|ies);Personal Security;;;;;
safety threat(s)?;Personal Security;;;;;
sale of conflict diamond(s)?;Personal Security;;;;;
sale of children;Personal Security;;;;;
self directed violence;Personal Security;;;;;
sexual abuse(s)?;Personal Security;;;;;
sexual assault(s)?;Personal Security;;;;;
sexual attack(s)?;Personal Security;;;;;
sexual exploitation;Personal Security;;;;;
sexual harassment;Personal Security;;;;;
sexual harm;Personal Security;;;;;
sexual offence;Personal Security;;;;;
sexual trafficking;Personal Security;;;;;
sexual violation(s)?;Personal Security;;;;;
sexual violence;Personal Security;;;;;
shell(ing|s|ed);Personal Security;;;;;
sho(ot|ots|ts|t|ing);Personal Security;;;;;
siege(e|ed|ing);Personal Security;;;;;
slaughter;Personal Security;;;;;
slaughter(ed);Personal Security;;;;;
slave labour;Personal Security;;;;;
small arms;Personal Security;;;;;
small arms and illicit weapons;Personal Security;;;;;
